user_id,chunk_id,chunk_length,chunk_start_date,chunk_end_date
3726,chunk4,107,2023-07-04,2023-10-18
3726,chunk5,114,2023-10-20,2024-02-10
12022,chunk1,252,2020-10-31,2021-07-09
12022,chunk2,268,2021-08-19,2022-05-13
12022,chunk3,255,2022-05-23,2023-02-01
12022,chunk4,163,2023-02-03,2023-07-15
12022,chunk5,161,2023-10-02,2024-03-10
11501,chunk1,92,2020-07-31,2020-10-30
4224,chunk1,132,2020-01-22,2020-06-01
4224,chunk2,140,2020-09-09,2021-01-26
4224,chunk3,103,2021-04-16,2021-07-27
11759,chunk1,106,2020-09-17,2020-12-31
11759,chunk2,94,2021-03-29,2021-06-30
16386,chunk1,141,2022-01-05,2022-05-25
11985,chunk1,176,2021-02-28,2021-08-22
21172,chunk1,128,2023-09-27,2024-02-01
15808,chunk1,92,2021-12-10,2022-03-11
3645,chunk1,94,2020-08-13,2020-11-14
11584,chunk1,256,2020-09-28,2021-06-10
11584,chunk2,189,2021-06-12,2021-12-17
3631,chunk1,117,2022-07-01,2022-10-25
3336,chunk1,96,2021-03-06,2021-06-09
3336,chunk2,92,2021-08-14,2021-11-13
3802,chunk1,101,2020-02-04,2020-05-14
3802,chunk2,112,2020-08-05,2020-11-24
3802,chunk3,142,2021-02-12,2021-07-03
3802,chunk4,125,2021-11-08,2022-03-12
3802,chunk5,101,2022-04-09,2022-07-18
3802,chunk6,363,2022-10-09,2023-10-06
3448,chunk1,353,2021-02-10,2022-01-28
3448,chunk2,119,2022-01-30,2022-05-28
3448,chunk3,91,2022-05-30,2022-08-28
3448,chunk4,159,2022-08-30,2023-02-04
3448,chunk5,313,2023-04-16,2024-02-22
16214,chunk1,92,2021-03-20,2021-06-19
3558,chunk1,157,2019-11-29,2020-05-03
9982,chunk1,122,2021-03-25,2021-07-24
3723,chunk1,91,2020-03-02,2020-05-31
3723,chunk2,104,2022-06-09,2022-09-20
11684,chunk1,111,2023-06-09,2023-09-27
4024,chunk1,105,2019-11-27,2020-03-10
19002,chunk1,91,2022-04-20,2022-07-19
11412,chunk1,94,2021-04-25,2021-07-27
11953,chunk1,123,2020-12-07,2021-04-08
17601,chunk1,91,2022-04-09,2022-07-08
4159,chunk1,106,2023-04-14,2023-07-28
3596,chunk1,92,2020-02-18,2020-05-19
11635,chunk1,138,2021-07-25,2021-12-09
4149,chunk1,174,2022-08-10,2023-01-30
4157,chunk1,163,2022-07-16,2022-12-25
4157,chunk2,163,2023-08-02,2024-01-11
20987,chunk1,96,2023-11-30,2024-03-04
13605,chunk1,129,2020-12-09,2021-04-16
13605,chunk2,125,2021-05-07,2021-09-08
3323,chunk1,134,2019-11-23,2020-04-04
3819,chunk1,95,2019-12-04,2020-03-07
3819,chunk2,135,2020-08-07,2020-12-19
14539,chunk1,103,2022-12-13,2023-03-25
14539,chunk2,259,2023-06-25,2024-03-09
3428,chunk1,96,2019-12-14,2020-03-18
19822,chunk1,118,2022-10-10,2023-02-04
19822,chunk2,158,2023-03-24,2023-08-28
11591,chunk1,95,2021-08-20,2021-11-22
9686,chunk1,162,2019-12-21,2020-05-30
9686,chunk2,101,2020-07-27,2020-11-04
15970,chunk1,116,2021-01-30,2021-05-25
3391,chunk1,135,2020-07-27,2020-12-08
3391,chunk2,148,2020-12-10,2021-05-06
3391,chunk3,114,2022-03-16,2022-07-07
3391,chunk4,112,2022-09-21,2023-01-10
3391,chunk5,145,2023-03-05,2023-07-27
3232,chunk1,135,2021-03-01,2021-07-13
3232,chunk2,106,2022-07-25,2022-11-07
3779,chunk1,109,2019-12-12,2020-03-29
15772,chunk1,93,2021-04-17,2021-07-18
4148,chunk1,116,2021-08-17,2021-12-10
3443,chunk1,91,2019-12-23,2020-03-22
3443,chunk2,101,2020-10-27,2021-02-04
3512,chunk1,107,2019-12-09,2020-03-24
17650,chunk1,94,2022-01-09,2022-04-12
11781,chunk1,97,2022-06-27,2022-10-01
4373,chunk1,124,2020-01-29,2020-05-31
3496,chunk1,111,2019-12-31,2020-04-19
3496,chunk2,234,2021-01-22,2021-09-12
3496,chunk3,100,2022-08-05,2022-11-12
3375,chunk1,105,2019-12-15,2020-03-28
4282,chunk1,93,2019-12-21,2020-03-22
3322,chunk1,130,2020-01-23,2020-05-31
4292,chunk1,94,2020-01-03,2020-04-05
4292,chunk2,169,2021-04-06,2021-09-21
11757,chunk1,146,2020-09-04,2021-01-27
11757,chunk2,175,2021-02-01,2021-07-25
11757,chunk3,97,2022-02-27,2022-06-03
3683,chunk1,133,2019-11-25,2020-04-05
20856,chunk1,169,2023-10-03,2024-03-19
11466,chunk1,121,2021-07-29,2021-11-26
14523,chunk1,117,2021-06-11,2021-10-05
3941,chunk1,188,2019-11-26,2020-05-31
3941,chunk2,132,2020-08-16,2020-12-25
3941,chunk3,156,2022-03-11,2022-08-13
3941,chunk4,139,2022-08-15,2022-12-31
3941,chunk5,98,2023-04-25,2023-07-31
3941,chunk6,184,2023-09-18,2024-03-19
3817,chunk1,176,2020-07-27,2021-01-18
3817,chunk2,166,2021-09-14,2022-02-26
3817,chunk3,275,2022-06-16,2023-03-17
3817,chunk4,169,2023-10-03,2024-03-19
4443,chunk1,135,2019-12-06,2020-04-18
9793,chunk1,101,2021-09-14,2021-12-23
9591,chunk1,136,2019-12-16,2020-04-29
3181,chunk1,128,2021-10-01,2022-02-05
3181,chunk2,136,2023-03-21,2023-08-03
20019,chunk1,135,2022-10-08,2023-02-19
3298,chunk1,95,2022-01-04,2022-04-08
3574,chunk1,117,2021-02-22,2021-06-18
3574,chunk2,368,2021-06-20,2022-06-22
3574,chunk3,161,2022-12-05,2023-05-14
3574,chunk4,155,2023-07-28,2023-12-29
9402,chunk1,102,2020-02-25,2020-06-05
3389,chunk1,124,2019-12-07,2020-04-08
3389,chunk2,144,2021-01-16,2021-06-08
3389,chunk3,166,2021-08-27,2022-02-08
3389,chunk4,128,2022-02-10,2022-06-17
3389,chunk5,183,2022-07-27,2023-01-25
3389,chunk6,93,2023-11-17,2024-02-17
3191,chunk1,128,2020-08-14,2020-12-19
3191,chunk2,113,2021-04-05,2021-07-26
3191,chunk3,98,2021-07-28,2021-11-02
11224,chunk1,310,2020-12-04,2021-10-09
11224,chunk2,245,2023-03-11,2023-11-10
4044,chunk1,93,2021-05-13,2021-08-13
19846,chunk1,100,2022-09-04,2022-12-12
20918,chunk1,100,2023-03-02,2023-06-09
11932,chunk1,232,2020-12-01,2021-07-20
20138,chunk1,172,2023-05-29,2023-11-16
3343,chunk1,121,2022-07-07,2022-11-04
11482,chunk1,113,2021-10-02,2022-01-22
17352,chunk1,117,2021-09-19,2022-01-13
17352,chunk2,91,2022-02-28,2022-05-29
9798,chunk1,186,2020-09-22,2021-03-26
9798,chunk2,104,2021-11-20,2022-03-03
3602,chunk1,106,2019-12-03,2020-03-17
17703,chunk1,99,2021-12-17,2022-03-25
17703,chunk2,91,2023-01-13,2023-04-13
4369,chunk1,126,2019-12-10,2020-04-13
15776,chunk1,91,2023-01-02,2023-04-02
3486,chunk1,91,2019-11-27,2020-02-25
3256,chunk1,91,2021-07-02,2021-09-30
3256,chunk2,124,2022-07-26,2022-11-26
3256,chunk3,107,2023-05-17,2023-08-31
3256,chunk4,118,2023-09-02,2023-12-28
11301,chunk1,103,2020-09-07,2020-12-18
11301,chunk2,97,2021-01-26,2021-05-02
19516,chunk1,130,2023-04-06,2023-08-13
19516,chunk2,130,2023-10-26,2024-03-03
3355,chunk1,191,2019-11-23,2020-05-31
3355,chunk2,102,2021-03-14,2021-06-23
11833,chunk1,141,2020-10-07,2021-02-24
3841,chunk1,91,2022-04-26,2022-07-25
16250,chunk1,136,2022-07-30,2022-12-12
16250,chunk2,123,2023-02-15,2023-06-17
18658,chunk1,103,2022-06-22,2022-10-02
3254,chunk1,100,2019-11-25,2020-03-03
3617,chunk1,119,2019-12-29,2020-04-25
3220,chunk1,123,2019-11-20,2020-03-21
16013,chunk1,161,2021-01-31,2021-07-10
11401,chunk1,97,2023-07-16,2023-10-20
16415,chunk1,211,2021-06-02,2021-12-29
16415,chunk2,261,2022-05-25,2023-02-09
3930,chunk1,95,2020-09-29,2021-01-01
3930,chunk2,100,2021-01-03,2021-04-12
3930,chunk3,363,2021-09-13,2022-09-10
3930,chunk4,96,2022-09-12,2022-12-16
3930,chunk5,176,2023-04-28,2023-10-20
11331,chunk1,112,2021-06-02,2021-09-21
3324,chunk1,150,2019-11-22,2020-04-19
3238,chunk1,97,2021-09-10,2021-12-15
4171,chunk1,133,2019-12-11,2020-04-21
4171,chunk2,212,2020-09-12,2021-04-11
4171,chunk3,281,2021-08-14,2022-05-21
4171,chunk4,136,2022-05-23,2022-10-05
4171,chunk5,106,2022-10-07,2023-01-20
4171,chunk6,99,2023-03-05,2023-06-11
4438,chunk1,112,2020-02-10,2020-05-31
4438,chunk2,104,2020-07-11,2020-10-22
4326,chunk1,185,2022-02-24,2022-08-27
9070,chunk1,95,2019-12-16,2020-03-19
3761,chunk1,96,2020-02-10,2020-05-15
20020,chunk1,105,2023-01-08,2023-04-22
20020,chunk2,287,2023-06-07,2024-03-19
